collection_no,source_database,collection.authorizer,occurrence.genus_reso,occurrence.genus_name,occurrence.species_reso,occurrence.species_name,original.genus_reso,original.genus_name,original.species_reso,original.species_name,collection.enterer,collection.reference_no,pubyr,state,county,latdec,lngdec,geogscale,spatial_resolution,geogcomments,10_my_bin,ma_max,ma_min,ma_mid,zone,geological_group,formation,member,localsection,localbed,localbedunit,localorder,regionalsection,regionalbed,regionalbedunit,regionalorder,stratscale,stratcomments,lithdescript,lithadj,lithification,minor_lithology,lithology1,fossilsfrom1,lithification2,minor_lithology2,lithadj2,lithology2,fossilsfrom2,environment,tectonic_setting,pres_mode,geology_comments,spatial_resolution2,temporal_resolution,feed_pred_traces,encrustation,bioerosion,fragmentation,sorting,art_whole_bodies,disart_assoc_maj_elems,lagerstatten,concentration,orientation,preservation_quality,abund_in_sediment,assembl_comps,taphonomy_comments,collection_type,collection_coverage,coll_meth,collection_size,collection_size_unit,museum,collectors,collection_dates,rock_censused_unit,rock_censused,collection_comments,taxonomy_comments,collection.created
3604,PaleoDB,M. Patzkowsky,,Granocardium,,sp.,,,,,K. Layou,216,1996,Texas,Medina,29.347222,-99.141111,small collection,,"King's Water Hole, Hondo Creek crossing 5 km N of Hondo",Cretaceous 7,84.9,70.6,77.75,Baculites maclearni,,Anacacho Limestone,,King's Water Hole,unit 3,,,,,,,bed,"Swezey and Sullivan (2004) correlate this bed to the Baculites maclearni zone., which is middle Campanian in Gradstein et al., 2004.",,,,,"""limestone""",,,,,,,marine indet.,,body,lithology described as chalky limestone,,,,,,,,,,,,,,,mesofossils,,biostratigraphic,some macrofossils,field collection,,,USGS,,,,,,,05/08/1999 10:58
3604,PaleoDB,M. Patzkowsky,cf.,Inoceramus,,balticus,cf.,Inoceramus,,balticus,K. Layou,216,1996,Texas,Medina,29.347222,-99.141111,small collection,,"King's Water Hole, Hondo Creek crossing 5 km N of Hondo",Cretaceous 7,84.9,70.6,77.75,Baculites maclearni,,Anacacho Limestone,,King's Water Hole,unit 3,,,,,,,bed,"Swezey and Sullivan (2004) correlate this bed to the Baculites maclearni zone., which is middle Campanian in Gradstein et al., 2004.",,,,,"""limestone""",,,,,,,marine indet.,,body,lithology described as chalky limestone,,,,,,,,,,,,,,,mesofossils,,biostratigraphic,some macrofossils,field collection,,,USGS,,,,,,,05/08/1999 10:58
3604,PaleoDB,M. Patzkowsky,aff.,Leptosolen,,biplicata,,,,,K. Layou,216,1996,Texas,Medina,29.347222,-99.141111,small collection,,"King's Water Hole, Hondo Creek crossing 5 km N of Hondo",Cretaceous 7,84.9,70.6,77.75,Baculites maclearni,,Anacacho Limestone,,King's Water Hole,unit 3,,,,,,,bed,"Swezey and Sullivan (2004) correlate this bed to the Baculites maclearni zone., which is middle Campanian in Gradstein et al., 2004.",,,,,"""limestone""",,,,,,,marine indet.,,body,lithology described as chalky limestone,,,,,,,,,,,,,,,mesofossils,,biostratigraphic,some macrofossils,field collection,,,USGS,,,,,,,05/08/1999 10:58
3604,PaleoDB,M. Patzkowsky,,Limea,,reticulata,,,,,K. Layou,216,1996,Texas,Medina,29.347222,-99.141111,small collection,,"King's Water Hole, Hondo Creek crossing 5 km N of Hondo",Cretaceous 7,84.9,70.6,77.75,Baculites maclearni,,Anacacho Limestone,,King's Water Hole,unit 3,,,,,,,bed,"Swezey and Sullivan (2004) correlate this bed to the Baculites maclearni zone., which is middle Campanian in Gradstein et al., 2004.",,,,,"""limestone""",,,,,,,marine indet.,,body,lithology described as chalky limestone,,,,,,,,,,,,,,,mesofossils,,biostratigraphic,some macrofossils,field collection,,,USGS,,,,,,,05/08/1999 10:58
3604,PaleoDB,M. Patzkowsky,,Neithea,,quinquecostata,,Neithea,,quinquecostata,K. Layou,216,1996,Texas,Medina,29.347222,-99.141111,small collection,,"King's Water Hole, Hondo Creek crossing 5 km N of Hondo",Cretaceous 7,84.9,70.6,77.75,Baculites maclearni,,Anacacho Limestone,,King's Water Hole,unit 3,,,,,,,bed,"Swezey and Sullivan (2004) correlate this bed to the Baculites maclearni zone., which is middle Campanian in Gradstein et al., 2004.",,,,,"""limestone""",,,,,,,marine indet.,,body,lithology described as chalky limestone,,,,,,,,,,,,,,,mesofossils,,biostratigraphic,some macrofossils,field collection,,,USGS,,,,,,,05/08/1999 10:58
3604,PaleoDB,M. Patzkowsky,cf.,Nucula,,stantoni,,,,,K. Layou,216,1996,Texas,Medina,29.347222,-99.141111,small collection,,"King's Water Hole, Hondo Creek crossing 5 km N of Hondo",Cretaceous 7,84.9,70.6,77.75,Baculites maclearni,,Anacacho Limestone,,King's Water Hole,unit 3,,,,,,,bed,"Swezey and Sullivan (2004) correlate this bed to the Baculites maclearni zone., which is middle Campanian in Gradstein et al., 2004.",,,,,"""limestone""",,,,,,,marine indet.,,body,lithology described as chalky limestone,,,,,,,,,,,,,,,mesofossils,,biostratigraphic,some macrofossils,field collection,,,USGS,,,,,,,05/08/1999 10:58
3604,PaleoDB,M. Patzkowsky,,Panopea,n. sp.,anacachoensis,,,,,K. Layou,216,1996,Texas,Medina,29.347222,-99.141111,small collection,,"King's Water Hole, Hondo Creek crossing 5 km N of Hondo",Cretaceous 7,84.9,70.6,77.75,Baculites maclearni,,Anacacho Limestone,,King's Water Hole,unit 3,,,,,,,bed,"Swezey and Sullivan (2004) correlate this bed to the Baculites maclearni zone., which is middle Campanian in Gradstein et al., 2004.",,,,,"""limestone""",,,,,,,marine indet.,,body,lithology described as chalky limestone,,,,,,,,,,,,,,,mesofossils,,biostratigraphic,some macrofossils,field collection,,,USGS,,,,,,,05/08/1999 10:58
3604,PaleoDB,M. Patzkowsky,,Protocardia,,spillmani,,,,,K. Layou,216,1996,Texas,Medina,29.347222,-99.141111,small collection,,"King's Water Hole, Hondo Creek crossing 5 km N of Hondo",Cretaceous 7,84.9,70.6,77.75,Baculites maclearni,,Anacacho Limestone,,King's Water Hole,unit 3,,,,,,,bed,"Swezey and Sullivan (2004) correlate this bed to the Baculites maclearni zone., which is middle Campanian in Gradstein et al., 2004.",,,,,"""limestone""",,,,,,,marine indet.,,body,lithology described as chalky limestone,,,,,,,,,,,,,,,mesofossils,,biostratigraphic,some macrofossils,field collection,,,USGS,,,,,,,05/08/1999 10:58
3604,PaleoDB,M. Patzkowsky,,Pterotrigonia,,sp.,,,,,K. Layou,216,1996,Texas,Medina,29.347222,-99.141111,small collection,,"King's Water Hole, Hondo Creek crossing 5 km N of Hondo",Cretaceous 7,84.9,70.6,77.75,Baculites maclearni,,Anacacho Limestone,,King's Water Hole,unit 3,,,,,,,bed,"Swezey and Sullivan (2004) correlate this bed to the Baculites maclearni zone., which is middle Campanian in Gradstein et al., 2004.",,,,,"""limestone""",,,,,,,marine indet.,,body,lithology described as chalky limestone,,,,,,,,,,,,,,,mesofossils,,biostratigraphic,some macrofossils,field collection,,,USGS,,,,,,,05/08/1999 10:58
3604,PaleoDB,M. Patzkowsky,,Pycnodonte,,mutabilis,,,,,K. Layou,216,1996,Texas,Medina,29.347222,-99.141111,small collection,,"King's Water Hole, Hondo Creek crossing 5 km N of Hondo",Cretaceous 7,84.9,70.6,77.75,Baculites maclearni,,Anacacho Limestone,,King's Water Hole,unit 3,,,,,,,bed,"Swezey and Sullivan (2004) correlate this bed to the Baculites maclearni zone., which is middle Campanian in Gradstein et al., 2004.",,,,,"""limestone""",,,,,,,marine indet.,,body,lithology described as chalky limestone,,,,,,,,,,,,,,,mesofossils,,biostratigraphic,some macrofossils,field collection,,,USGS,,,,,,,05/08/1999 10:58
3605,PaleoDB,M. Patzkowsky,,Camptonectes,,burlingtonensis,,,,,K. Layou,216,1996,Texas,Medina,29.347222,-99.141111,small collection,,"King's Water Hole, Hondo Creek crossing 5 km N of Hondo",Cretaceous 7,84.9,70.6,77.75,Baculites maclearni,,Anacacho Limestone,,King's Water Hole,unit 4,,,,,,,bed,"Swezey and Sullivan (2004) correlate this bed to the Baculites maclearni zone., which is middle Campanian in Gradstein et al., 2004.",,,,,"""limestone""",,,,,,,marine indet.,,body,lithology described as a chalky limestone,,,,,,,,,,,,,,,mesofossils,,biostratigraphic,some macrofossils,field collection,,,USGS,,,,,,,05/08/1999 11:09
3605,PaleoDB,M. Patzkowsky,,Limea,,reticulata,,,,,K. Layou,216,1996,Texas,Medina,29.347222,-99.141111,small collection,,"King's Water Hole, Hondo Creek crossing 5 km N of Hondo",Cretaceous 7,84.9,70.6,77.75,Baculites maclearni,,Anacacho Limestone,,King's Water Hole,unit 4,,,,,,,bed,"Swezey and Sullivan (2004) correlate this bed to the Baculites maclearni zone., which is middle Campanian in Gradstein et al., 2004.",,,,,"""limestone""",,,,,,,marine indet.,,body,lithology described as a chalky limestone,,,,,,,,,,,,,,,mesofossils,,biostratigraphic,some macrofossils,field collection,,,USGS,,,,,,,05/08/1999 11:09
3605,PaleoDB,M. Patzkowsky,,Neithea,,quinquecostata,,Neithea,,quinquecostata,K. Layou,216,1996,Texas,Medina,29.347222,-99.141111,small collection,,"King's Water Hole, Hondo Creek crossing 5 km N of Hondo",Cretaceous 7,84.9,70.6,77.75,Baculites maclearni,,Anacacho Limestone,,King's Water Hole,unit 4,,,,,,,bed,"Swezey and Sullivan (2004) correlate this bed to the Baculites maclearni zone., which is middle Campanian in Gradstein et al., 2004.",,,,,"""limestone""",,,,,,,marine indet.,,body,lithology described as a chalky limestone,,,,,,,,,,,,,,,mesofossils,,biostratigraphic,some macrofossils,field collection,,,USGS,,,,,,,05/08/1999 11:09
3605,PaleoDB,M. Patzkowsky,?,Nemodon,,sp.,,,,,K. Layou,216,1996,Texas,Medina,29.347222,-99.141111,small collection,,"King's Water Hole, Hondo Creek crossing 5 km N of Hondo",Cretaceous 7,84.9,70.6,77.75,Baculites maclearni,,Anacacho Limestone,,King's Water Hole,unit 4,,,,,,,bed,"Swezey and Sullivan (2004) correlate this bed to the Baculites maclearni zone., which is middle Campanian in Gradstein et al., 2004.",,,,,"""limestone""",,,,,,,marine indet.,,body,lithology described as a chalky limestone,,,,,,,,,,,,,,,mesofossils,,biostratigraphic,some macrofossils,field collection,,,USGS,,,,,,,05/08/1999 11:09
3605,PaleoDB,M. Patzkowsky,,Pycnodonte,,mutabilis,,,,,K. Layou,216,1996,Texas,Medina,29.347222,-99.141111,small collection,,"King's Water Hole, Hondo Creek crossing 5 km N of Hondo",Cretaceous 7,84.9,70.6,77.75,Baculites maclearni,,Anacacho Limestone,,King's Water Hole,unit 4,,,,,,,bed,"Swezey and Sullivan (2004) correlate this bed to the Baculites maclearni zone., which is middle Campanian in Gradstein et al., 2004.",,,,,"""limestone""",,,,,,,marine indet.,,body,lithology described as a chalky limestone,,,,,,,,,,,,,,,mesofossils,,biostratigraphic,some macrofossils,field collection,,,USGS,,,,,,,05/08/1999 11:09
3606,PaleoDB,M. Patzkowsky,cf.,Granocardium,,dumosum,,,,,K. Layou,216,1996,Texas,Medina,29.347222,-99.141111,small collection,,"King's Water Hole, Hondo Creek crossing 5 km N of Hondo",Cretaceous 7,84.9,70.6,77.75,Baculites maclearni,,Anacacho Limestone,,King's Water Hole,unit 5,,,,,,,bed,"Swezey and Sullivan (2004) correlate this bed to the Baculites maclearni zone., which is middle Campanian in Gradstein et al., 2004.",,,,calcareous,"""shale""",,,,,,,marine indet.,,body,,,,,,,,,,,,,,,,mesofossils,,biostratigraphic,some macrofossils,field collection,,,USGS,,,,,,,05/08/1999 11:16
3607,PaleoDB,M. Patzkowsky,,Cucullaea,,sp.,,,,,K. Layou,216,1996,Texas,Medina,29.347222,-99.141111,small collection,,"King's Water Hole, Hondo Creek crossing, about 5 km N of Hondo",Cretaceous 7,84.9,70.6,77.75,Bostrychoceras polyplocum,,Anacacho Limestone,,,,,,,,,,bed,"AGE: Late Campanian, on the basis of ammonoid biostratigraphy; Bostrychoceras polyplocum zone; was originally entered as Middle Campanian. Comment by J. Sessa: Swezey and Sullivan (2004) correlate this bed to the Baculites maclearni zone., which is middle Campanian in Gradstein et al., 2004. Also, Bostrychoceras polyplocum zone spans almost the entire middle Campanian and part of the upper Campanian, thus I have changed the interval back to middle Campanian.",,,,,"""limestone""",,,,,,,marine indet.,,body,lithology described as chalky limestone,,,,,,,,,,,,,,,mesofossils,,biostratigraphic,some macrofossils,field collection,,,USGS,,,,,,,05/08/1999 11:20
3607,PaleoDB,M. Patzkowsky,,Exogyra,,erraticostata,,,,,K. Layou,216,1996,Texas,Medina,29.347222,-99.141111,small collection,,"King's Water Hole, Hondo Creek crossing, about 5 km N of Hondo",Cretaceous 7,84.9,70.6,77.75,Bostrychoceras polyplocum,,Anacacho Limestone,,,,,,,,,,bed,"AGE: Late Campanian, on the basis of ammonoid biostratigraphy; Bostrychoceras polyplocum zone; was originally entered as Middle Campanian. Comment by J. Sessa: Swezey and Sullivan (2004) correlate this bed to the Baculites maclearni zone., which is middle Campanian in Gradstein et al., 2004. Also, Bostrychoceras polyplocum zone spans almost the entire middle Campanian and part of the upper Campanian, thus I have changed the interval back to middle Campanian.",,,,,"""limestone""",,,,,,,marine indet.,,body,lithology described as chalky limestone,,,,,,,,,,,,,,,mesofossils,,biostratigraphic,some macrofossils,field collection,,,USGS,,,,,,,05/08/1999 11:20
3607,PaleoDB,M. Patzkowsky,,Inoceramus,,balticus,,Inoceramus,,balticus,K. Layou,216,1996,Texas,Medina,29.347222,-99.141111,small collection,,"King's Water Hole, Hondo Creek crossing, about 5 km N of Hondo",Cretaceous 7,84.9,70.6,77.75,Bostrychoceras polyplocum,,Anacacho Limestone,,,,,,,,,,bed,"AGE: Late Campanian, on the basis of ammonoid biostratigraphy; Bostrychoceras polyplocum zone; was originally entered as Middle Campanian. Comment by J. Sessa: Swezey and Sullivan (2004) correlate this bed to the Baculites maclearni zone., which is middle Campanian in Gradstein et al., 2004. Also, Bostrychoceras polyplocum zone spans almost the entire middle Campanian and part of the upper Campanian, thus I have changed the interval back to middle Campanian.",,,,,"""limestone""",,,,,,,marine indet.,,body,lithology described as chalky limestone,,,,,,,,,,,,,,,mesofossils,,biostratigraphic,some macrofossils,field collection,,,USGS,,,,,,,05/08/1999 11:20
3607,PaleoDB,M. Patzkowsky,cf.,Lucina,,glebula,,,,,K. Layou,216,1996,Texas,Medina,29.347222,-99.141111,small collection,,"King's Water Hole, Hondo Creek crossing, about 5 km N of Hondo",Cretaceous 7,84.9,70.6,77.75,Bostrychoceras polyplocum,,Anacacho Limestone,,,,,,,,,,bed,"AGE: Late Campanian, on the basis of ammonoid biostratigraphy; Bostrychoceras polyplocum zone; was originally entered as Middle Campanian. Comment by J. Sessa: Swezey and Sullivan (2004) correlate this bed to the Baculites maclearni zone., which is middle Campanian in Gradstein et al., 2004. Also, Bostrychoceras polyplocum zone spans almost the entire middle Campanian and part of the upper Campanian, thus I have changed the interval back to middle Campanian.",,,,,"""limestone""",,,,,,,marine indet.,,body,lithology described as chalky limestone,,,,,,,,,,,,,,,mesofossils,,biostratigraphic,some macrofossils,field collection,,,USGS,,,,,,,05/08/1999 11:20
3607,PaleoDB,M. Patzkowsky,,Panopea,n. sp.,anacachoensis,,,,,K. Layou,216,1996,Texas,Medina,29.347222,-99.141111,small collection,,"King's Water Hole, Hondo Creek crossing, about 5 km N of Hondo",Cretaceous 7,84.9,70.6,77.75,Bostrychoceras polyplocum,,Anacacho Limestone,,,,,,,,,,bed,"AGE: Late Campanian, on the basis of ammonoid biostratigraphy; Bostrychoceras polyplocum zone; was originally entered as Middle Campanian. Comment by J. Sessa: Swezey and Sullivan (2004) correlate this bed to the Baculites maclearni zone., which is middle Campanian in Gradstein et al., 2004. Also, Bostrychoceras polyplocum zone spans almost the entire middle Campanian and part of the upper Campanian, thus I have changed the interval back to middle Campanian.",,,,,"""limestone""",,,,,,,marine indet.,,body,lithology described as chalky limestone,,,,,,,,,,,,,,,mesofossils,,biostratigraphic,some macrofossils,field collection,,,USGS,,,,,,,05/08/1999 11:20
3607,PaleoDB,M. Patzkowsky,cf.,Pinna,,laqueata,,,,,K. Layou,216,1996,Texas,Medina,29.347222,-99.141111,small collection,,"King's Water Hole, Hondo Creek crossing, about 5 km N of Hondo",Cretaceous 7,84.9,70.6,77.75,Bostrychoceras polyplocum,,Anacacho Limestone,,,,,,,,,,bed,"AGE: Late Campanian, on the basis of ammonoid biostratigraphy; Bostrychoceras polyplocum zone; was originally entered as Middle Campanian. Comment by J. Sessa: Swezey and Sullivan (2004) correlate this bed to the Baculites maclearni zone., which is middle Campanian in Gradstein et al., 2004. Also, Bostrychoceras polyplocum zone spans almost the entire middle Campanian and part of the upper Campanian, thus I have changed the interval back to middle Campanian.",,,,,"""limestone""",,,,,,,marine indet.,,body,lithology described as chalky limestone,,,,,,,,,,,,,,,mesofossils,,biostratigraphic,some macrofossils,field collection,,,USGS,,,,,,,05/08/1999 11:20
3607,PaleoDB,M. Patzkowsky,,Protocardia,,spillmani,,,,,K. Layou,216,1996,Texas,Medina,29.347222,-99.141111,small collection,,"King's Water Hole, Hondo Creek crossing, about 5 km N of Hondo",Cretaceous 7,84.9,70.6,77.75,Bostrychoceras polyplocum,,Anacacho Limestone,,,,,,,,,,bed,"AGE: Late Campanian, on the basis of ammonoid biostratigraphy; Bostrychoceras polyplocum zone; was originally entered as Middle Campanian. Comment by J. Sessa: Swezey and Sullivan (2004) correlate this bed to the Baculites maclearni zone., which is middle Campanian in Gradstein et al., 2004. Also, Bostrychoceras polyplocum zone spans almost the entire middle Campanian and part of the upper Campanian, thus I have changed the interval back to middle Campanian.",,,,,"""limestone""",,,,,,,marine indet.,,body,lithology described as chalky limestone,,,,,,,,,,,,,,,mesofossils,,biostratigraphic,some macrofossils,field collection,,,USGS,,,,,,,05/08/1999 11:20
3608,PaleoDB,M. Patzkowsky,?,Barbatia,,sp.,,,,,K. Layou,216,1996,Texas,Medina,29.347222,-99.141111,small collection,,"King's Water Hole, Hondo Creek crossing 5 km N of Hondo",Cretaceous 7,84.9,70.6,77.75,Baculites maclearni,,Anacacho Limestone,,King's Water Hole,unit 8,,,,,,,bed,"Swezey and Sullivan (2004) correlate this bed to the Baculites maclearni zone., which is middle Campanian in Gradstein et al., 2004.",,,,,"""carbonate""",,,,,,,marine indet.,,body,lithology described as a chalk,,,,,,,,,,,,,,,mesofossils,,biostratigraphic,some macrofossils,field collection,,,USGS,,,,,,,05/08/1999 11:37
3608,PaleoDB,M. Patzkowsky,cf.,Camptonectes,,bellisculptus,,,,,K. Layou,216,1996,Texas,Medina,29.347222,-99.141111,small collection,,"King's Water Hole, Hondo Creek crossing 5 km N of Hondo",Cretaceous 7,84.9,70.6,77.75,Baculites maclearni,,Anacacho Limestone,,King's Water Hole,unit 8,,,,,,,bed,"Swezey and Sullivan (2004) correlate this bed to the Baculites maclearni zone., which is middle Campanian in Gradstein et al., 2004.",,,,,"""carbonate""",,,,,,,marine indet.,,body,lithology described as a chalk,,,,,,,,,,,,,,,mesofossils,,biostratigraphic,some macrofossils,field collection,,,USGS,,,,,,,05/08/1999 11:37
3608,PaleoDB,M. Patzkowsky,,Cucullaea,,sp.,,,,,K. Layou,216,1996,Texas,Medina,29.347222,-99.141111,small collection,,"King's Water Hole, Hondo Creek crossing 5 km N of Hondo",Cretaceous 7,84.9,70.6,77.75,Baculites maclearni,,Anacacho Limestone,,King's Water Hole,unit 8,,,,,,,bed,"Swezey and Sullivan (2004) correlate this bed to the Baculites maclearni zone., which is middle Campanian in Gradstein et al., 2004.",,,,,"""carbonate""",,,,,,,marine indet.,,body,lithology described as a chalk,,,,,,,,,,,,,,,mesofossils,,biostratigraphic,some macrofossils,field collection,,,USGS,,,,,,,05/08/1999 11:37
