collection_no,source_database,collection.authorizer,occurrence.genus_reso,occurrence.genus_name,occurrence.species_reso,occurrence.species_name,original.genus_reso,original.genus_name,original.species_reso,original.species_name,collection.enterer,collection.reference_no,pubyr,state,county,latdec,lngdec,geogscale,spatial_resolution,geogcomments,10_my_bin,ma_max,ma_min,ma_mid,zone,geological_group,formation,member,localsection,localbed,localbedunit,localorder,regionalsection,regionalbed,regionalbedunit,regionalorder,stratscale,stratcomments,lithdescript,lithadj,lithification,minor_lithology,lithology1,fossilsfrom1,lithification2,minor_lithology2,lithadj2,lithology2,fossilsfrom2,environment,tectonic_setting,pres_mode,geology_comments,spatial_resolution2,temporal_resolution,feed_pred_traces,encrustation,bioerosion,fragmentation,sorting,art_whole_bodies,disart_assoc_maj_elems,lagerstatten,concentration,orientation,preservation_quality,abund_in_sediment,assembl_comps,taphonomy_comments,collection_type,collection_coverage,coll_meth,collection_size,collection_size_unit,museum,collectors,collection_dates,rock_censused_unit,rock_censused,collection_comments,taxonomy_comments,collection.created
82684,PaleoDB,A. Hendy,,Baculites,,sp.,,,,,A. Hendy,27815,1937,Alberta,,49.98,-110.815,local area,,"SPECIFIC LOCATION: Milk River, Alberta, Canada. LAT/LONG: estimated based on township and range (data supplied in text) conversion.",Cretaceous 7,84.9,70.6,77.75,,,Judith RIver,Foremost,,,,,,,,,group of beds,"STRATIGRAPHIC RELATIONS: From the Foremost [Mbr] Fm, which overlies the Early Campanian Pakowki Fm, and is overlain by the Oldman [Mbr] Fm (non-marine) of the Judith River [Fm] Gp (Late Campanian). AGE: Late Campanian on the basis of ammonite (and other groups) biostratigraphy; Middle Campanian according to Dawson et el. - Geological Atlas of the Western Canada Sedimentary Basin. STRATIGRAPHIC POSITION: From unknown position within the Foremost Fm.",SPECIFIC LITHOLOGY: Sandstone. LITHIFICATION: lithified.,,lithified,,sandstone,Y,,,,,Y,transition zone/lower shoreface,,"body,original aragonite,original calcite",ENVIRONMENT: Very shallow siliciclastic marine setting.,,,,,,,,,,,,,medium,,macrofossils,,taxonomic,,"surface (in situ),field collection",,,GSC,,,,,,,31/07/2008 06:41
87440,PaleoDB,A. Hendy,,Baculites,cf.,grandis,,,,,A. Hendy,29446,1935,Alberta,,52.833333,-110.866667,basin,,"SPECIFIC LOCATION: From multiple localities in Alberta and Saskatchewan, including: 1) Wainwright area; 2) Battle River, Alberta. LAT/LONG: estimated based on Wainwright, Alberta.",Cretaceous 7,84.9,70.6,77.75,,,Judith River,Ribstone Creek,,,,,,,,,member,"STRATIGRAPHIC RELATIONS: The top of the unit is defined by an interfingering contact with the Judith River Formation. The bottom is the contact with the upper or First White Speckled Shale. In eastern Saskatchewan and southern Manitoba the Lea Park correlates with the Gammon Ferruginous, Pembina and lower Millwood members of the Pierre Shale. To the north the Labiche Formation of the Athabasca River region is partly equivalent. In the Peace River area the Puskwaskau Formation is of similar age to the lower Lea Park. In the north and central Alberta Foothills the Nomad, Chungo and Hanson members of the Wapiabi Formation are considered equivalent. In southern Alberta the Belly River, Pakowki and Milk River formations and in northern Montana their stratigraphic equivalents the Judith River, Claggett and Eagle formations are of similar age to the Lea Park. AGE: Campanian, on the basis of ammonoid biostratigraphy; Scaphites ventricosus zone. STRATIGRAPHIC POSITION: List representing member.","SPECIFIC LITHOLOGY: Sandstone, medium- to very fine-grained, buff weathering, friable to well-indurated with calcite cement, cross-bedded in part, carbonaceous fragments common, coal seams present in more westerly sections, interbedded mudstones more common in eastern sections. LITHIFICATION: Poorly lithified.","""cross stratification"",fine,medium,brown",lithified,"calcareous,carbonaceous",sandstone,Y,,,,,,marginal marine indet.,,"body,cast,mold/impression",ENVIRONMENT: Brackish and freshwater.,,,,,,,,,,,,,,,macrofossils,,taxonomic,,"surface (in situ),field collection",,,GSC,,,,,COLLECTOR: Multiple collectors. REPOSITORY: Geological Survey of Canada (GSC).,"COVERAGE: Exhaustive for marine invertebrates. NOMENCLATURE: Not an authoritative publication, and with relatively antiquated nomenclature but species-resolution identifications.",17/03/2009 15:02
87439,PaleoDB,A. Hendy,,Baculites,,ovatus,,,,,A. Hendy,29446,1935,Alberta,,52.833333,-110.866667,basin,,"SPECIFIC LOCATION: From multiple localities in Alberta and Saskatchewan, including: 1) Wainwright area; 2) Battle River, Alberta. LAT/LONG: estimated based on Wainwright, Alberta.",Cretaceous 7,84.9,70.6,77.75,,,Lea Park,,,,,,,,,,formation,"STRATIGRAPHIC RELATIONS: The top of the unit is defined by an interfingering contact with the Judith River Formation. The bottom is the contact with the upper or First White Speckled Shale. In eastern Saskatchewan and southern Manitoba the Lea Park correlates with the Gammon Ferruginous, Pembina and lower Millwood members of the Pierre Shale. To the north the Labiche Formation of the Athabasca River region is partly equivalent. In the Peace River area the Puskwaskau Formation is of similar age to the lower Lea Park. In the north and central Alberta Foothills the Nomad, Chungo and Hanson members of the Wapiabi Formation are considered equivalent. In southern Alberta the Belly River, Pakowki and Milk River formations and in northern Montana their stratigraphic equivalents the Judith River, Claggett and Eagle formations are of similar age to the Lea Park. AGE: Campanian, on the basis of ammonoid biostratigraphy; Scaphites ventricosus zone. STRATIGRAPHIC POSITION: List representing lower part of formation.",SPECIFIC LITHOLOGY: Typically composed of medium to dark grey shale with minor amounts of silt. LITHIFICATION: Poorly lithified.,gray,poorly lithified,silty,"""shale""",Y,,,,,,marine indet.,,"body,cast,mold/impression",ENVIRONMENT: Siliciclastic marine.,,,,,,,,,,,,,,,macrofossils,,taxonomic,,"surface (in situ),field collection",,,GSC,,,,,COLLECTOR: Multiple collectors. REPOSITORY: Geological Survey of Canada (GSC).,"COVERAGE: Exhaustive for marine invertebrates. NOMENCLATURE: Not an authoritative publication, and with relatively antiquated nomenclature but species-resolution identifications.",17/03/2009 14:54
87439,PaleoDB,A. Hendy,,Baculites,,aquilaensis,,,,,A. Hendy,29446,1935,Alberta,,52.833333,-110.866667,basin,,"SPECIFIC LOCATION: From multiple localities in Alberta and Saskatchewan, including: 1) Wainwright area; 2) Battle River, Alberta. LAT/LONG: estimated based on Wainwright, Alberta.",Cretaceous 7,84.9,70.6,77.75,,,Lea Park,,,,,,,,,,formation,"STRATIGRAPHIC RELATIONS: The top of the unit is defined by an interfingering contact with the Judith River Formation. The bottom is the contact with the upper or First White Speckled Shale. In eastern Saskatchewan and southern Manitoba the Lea Park correlates with the Gammon Ferruginous, Pembina and lower Millwood members of the Pierre Shale. To the north the Labiche Formation of the Athabasca River region is partly equivalent. In the Peace River area the Puskwaskau Formation is of similar age to the lower Lea Park. In the north and central Alberta Foothills the Nomad, Chungo and Hanson members of the Wapiabi Formation are considered equivalent. In southern Alberta the Belly River, Pakowki and Milk River formations and in northern Montana their stratigraphic equivalents the Judith River, Claggett and Eagle formations are of similar age to the Lea Park. AGE: Campanian, on the basis of ammonoid biostratigraphy; Scaphites ventricosus zone. STRATIGRAPHIC POSITION: List representing lower part of formation.",SPECIFIC LITHOLOGY: Typically composed of medium to dark grey shale with minor amounts of silt. LITHIFICATION: Poorly lithified.,gray,poorly lithified,silty,"""shale""",Y,,,,,,marine indet.,,"body,cast,mold/impression",ENVIRONMENT: Siliciclastic marine.,,,,,,,,,,,,,,,macrofossils,,taxonomic,,"surface (in situ),field collection",,,GSC,,,,,COLLECTOR: Multiple collectors. REPOSITORY: Geological Survey of Canada (GSC).,"COVERAGE: Exhaustive for marine invertebrates. NOMENCLATURE: Not an authoritative publication, and with relatively antiquated nomenclature but species-resolution identifications.",17/03/2009 14:54
87439,PaleoDB,A. Hendy,,Baculites,,compressus,,,,,A. Hendy,29446,1935,Alberta,,52.833333,-110.866667,basin,,"SPECIFIC LOCATION: From multiple localities in Alberta and Saskatchewan, including: 1) Wainwright area; 2) Battle River, Alberta. LAT/LONG: estimated based on Wainwright, Alberta.",Cretaceous 7,84.9,70.6,77.75,,,Lea Park,,,,,,,,,,formation,"STRATIGRAPHIC RELATIONS: The top of the unit is defined by an interfingering contact with the Judith River Formation. The bottom is the contact with the upper or First White Speckled Shale. In eastern Saskatchewan and southern Manitoba the Lea Park correlates with the Gammon Ferruginous, Pembina and lower Millwood members of the Pierre Shale. To the north the Labiche Formation of the Athabasca River region is partly equivalent. In the Peace River area the Puskwaskau Formation is of similar age to the lower Lea Park. In the north and central Alberta Foothills the Nomad, Chungo and Hanson members of the Wapiabi Formation are considered equivalent. In southern Alberta the Belly River, Pakowki and Milk River formations and in northern Montana their stratigraphic equivalents the Judith River, Claggett and Eagle formations are of similar age to the Lea Park. AGE: Campanian, on the basis of ammonoid biostratigraphy; Scaphites ventricosus zone. STRATIGRAPHIC POSITION: List representing lower part of formation.",SPECIFIC LITHOLOGY: Typically composed of medium to dark grey shale with minor amounts of silt. LITHIFICATION: Poorly lithified.,gray,poorly lithified,silty,"""shale""",Y,,,,,,marine indet.,,"body,cast,mold/impression",ENVIRONMENT: Siliciclastic marine.,,,,,,,,,,,,,,,macrofossils,,taxonomic,,"surface (in situ),field collection",,,GSC,,,,,COLLECTOR: Multiple collectors. REPOSITORY: Geological Survey of Canada (GSC).,"COVERAGE: Exhaustive for marine invertebrates. NOMENCLATURE: Not an authoritative publication, and with relatively antiquated nomenclature but species-resolution identifications.",17/03/2009 14:54
87439,PaleoDB,A. Hendy,,Acanthoscaphites,,sp.,,,,,A. Hendy,29446,1935,Alberta,,52.833333,-110.866667,basin,,"SPECIFIC LOCATION: From multiple localities in Alberta and Saskatchewan, including: 1) Wainwright area; 2) Battle River, Alberta. LAT/LONG: estimated based on Wainwright, Alberta.",Cretaceous 7,84.9,70.6,77.75,,,Lea Park,,,,,,,,,,formation,"STRATIGRAPHIC RELATIONS: The top of the unit is defined by an interfingering contact with the Judith River Formation. The bottom is the contact with the upper or First White Speckled Shale. In eastern Saskatchewan and southern Manitoba the Lea Park correlates with the Gammon Ferruginous, Pembina and lower Millwood members of the Pierre Shale. To the north the Labiche Formation of the Athabasca River region is partly equivalent. In the Peace River area the Puskwaskau Formation is of similar age to the lower Lea Park. In the north and central Alberta Foothills the Nomad, Chungo and Hanson members of the Wapiabi Formation are considered equivalent. In southern Alberta the Belly River, Pakowki and Milk River formations and in northern Montana their stratigraphic equivalents the Judith River, Claggett and Eagle formations are of similar age to the Lea Park. AGE: Campanian, on the basis of ammonoid biostratigraphy; Scaphites ventricosus zone. STRATIGRAPHIC POSITION: List representing lower part of formation.",SPECIFIC LITHOLOGY: Typically composed of medium to dark grey shale with minor amounts of silt. LITHIFICATION: Poorly lithified.,gray,poorly lithified,silty,"""shale""",Y,,,,,,marine indet.,,"body,cast,mold/impression",ENVIRONMENT: Siliciclastic marine.,,,,,,,,,,,,,,,macrofossils,,taxonomic,,"surface (in situ),field collection",,,GSC,,,,,COLLECTOR: Multiple collectors. REPOSITORY: Geological Survey of Canada (GSC).,"COVERAGE: Exhaustive for marine invertebrates. NOMENCLATURE: Not an authoritative publication, and with relatively antiquated nomenclature but species-resolution identifications.",17/03/2009 14:54
82647,PaleoDB,A. Hendy,,Baculites,,ovatus,,,,,A. Hendy,27815,1937,Alberta,,49.1,-111.613,outcrop,,"SPECIFIC LOCATION: Kye Coulee, Alberta, Canada. LAT/LONG: estimated based on township and range (data supplied in text) conversion.",Cretaceous 7,84.9,70.6,77.75,,,Pawkowki,,,,,,,,,,group of beds,"STRATIGRAPHIC RELATIONS: From the Pawkowki Formation, which overlies the Early Campanian Milk River Formation, is equivalent to the Lea Park Fm, and is overlain by the Judith River Fm (Late Campanian). AGE: Early Campanian on the basis of ammonite (and other groups) biostratigraphy; Baculites obtusus biozone. Early Campanian according to Dawson et el. - Geological Atlas of the Western Canada Sedimentary Basin. STRATIGRAPHIC POSITION: From lower part of  formation.","SPECIFIC LITHOLOGY: Not stated in text, but certainly siliciclastic, probably shale. LITHIFICATION: Poorly-lithified.",,poorly lithified,,"""siliciclastic""",Y,,,,,Y,offshore,,"body,cast,mold/impression,original calcite",ENVIRONMENT: Offshore siliciclastic marine setting.,,,,,,,,,,,,,medium,,macrofossils,,taxonomic,,"surface (in situ),field collection",,,GSC,Russell & Landes,1934-1936,,,COLLECTOR: L.S. Russell and R. W. Landes. REPOSITORY: Geological Survey of Canada (GSC),"COVERAGE: Exhaustive for bivalvia, gastropoda, scaphopoda, and cephalopoda.",30/07/2008 18:08
82647,PaleoDB,A. Hendy,,Baculites,,haresi,,,,,A. Hendy,27815,1937,Alberta,,49.1,-111.613,outcrop,,"SPECIFIC LOCATION: Kye Coulee, Alberta, Canada. LAT/LONG: estimated based on township and range (data supplied in text) conversion.",Cretaceous 7,84.9,70.6,77.75,,,Pawkowki,,,,,,,,,,group of beds,"STRATIGRAPHIC RELATIONS: From the Pawkowki Formation, which overlies the Early Campanian Milk River Formation, is equivalent to the Lea Park Fm, and is overlain by the Judith River Fm (Late Campanian). AGE: Early Campanian on the basis of ammonite (and other groups) biostratigraphy; Baculites obtusus biozone. Early Campanian according to Dawson et el. - Geological Atlas of the Western Canada Sedimentary Basin. STRATIGRAPHIC POSITION: From lower part of  formation.","SPECIFIC LITHOLOGY: Not stated in text, but certainly siliciclastic, probably shale. LITHIFICATION: Poorly-lithified.",,poorly lithified,,"""siliciclastic""",Y,,,,,Y,offshore,,"body,cast,mold/impression,original calcite",ENVIRONMENT: Offshore siliciclastic marine setting.,,,,,,,,,,,,,medium,,macrofossils,,taxonomic,,"surface (in situ),field collection",,,GSC,Russell & Landes,1934-1936,,,COLLECTOR: L.S. Russell and R. W. Landes. REPOSITORY: Geological Survey of Canada (GSC),"COVERAGE: Exhaustive for bivalvia, gastropoda, scaphopoda, and cephalopoda.",30/07/2008 18:08
82647,PaleoDB,A. Hendy,,Placenticeras,,intercalare,,,,,A. Hendy,27815,1937,Alberta,,49.1,-111.613,outcrop,,"SPECIFIC LOCATION: Kye Coulee, Alberta, Canada. LAT/LONG: estimated based on township and range (data supplied in text) conversion.",Cretaceous 7,84.9,70.6,77.75,,,Pawkowki,,,,,,,,,,group of beds,"STRATIGRAPHIC RELATIONS: From the Pawkowki Formation, which overlies the Early Campanian Milk River Formation, is equivalent to the Lea Park Fm, and is overlain by the Judith River Fm (Late Campanian). AGE: Early Campanian on the basis of ammonite (and other groups) biostratigraphy; Baculites obtusus biozone. Early Campanian according to Dawson et el. - Geological Atlas of the Western Canada Sedimentary Basin. STRATIGRAPHIC POSITION: From lower part of  formation.","SPECIFIC LITHOLOGY: Not stated in text, but certainly siliciclastic, probably shale. LITHIFICATION: Poorly-lithified.",,poorly lithified,,"""siliciclastic""",Y,,,,,Y,offshore,,"body,cast,mold/impression,original calcite",ENVIRONMENT: Offshore siliciclastic marine setting.,,,,,,,,,,,,,medium,,macrofossils,,taxonomic,,"surface (in situ),field collection",,,GSC,Russell & Landes,1934-1936,,,COLLECTOR: L.S. Russell and R. W. Landes. REPOSITORY: Geological Survey of Canada (GSC),"COVERAGE: Exhaustive for bivalvia, gastropoda, scaphopoda, and cephalopoda.",30/07/2008 18:08
82647,PaleoDB,A. Hendy,,Baculites,,obtusus,,,,,A. Hendy,27815,1937,Alberta,,49.1,-111.613,outcrop,,"SPECIFIC LOCATION: Kye Coulee, Alberta, Canada. LAT/LONG: estimated based on township and range (data supplied in text) conversion.",Cretaceous 7,84.9,70.6,77.75,,,Pawkowki,,,,,,,,,,group of beds,"STRATIGRAPHIC RELATIONS: From the Pawkowki Formation, which overlies the Early Campanian Milk River Formation, is equivalent to the Lea Park Fm, and is overlain by the Judith River Fm (Late Campanian). AGE: Early Campanian on the basis of ammonite (and other groups) biostratigraphy; Baculites obtusus biozone. Early Campanian according to Dawson et el. - Geological Atlas of the Western Canada Sedimentary Basin. STRATIGRAPHIC POSITION: From lower part of  formation.","SPECIFIC LITHOLOGY: Not stated in text, but certainly siliciclastic, probably shale. LITHIFICATION: Poorly-lithified.",,poorly lithified,,"""siliciclastic""",Y,,,,,Y,offshore,,"body,cast,mold/impression,original calcite",ENVIRONMENT: Offshore siliciclastic marine setting.,,,,,,,,,,,,,medium,,macrofossils,,taxonomic,,"surface (in situ),field collection",,,GSC,Russell & Landes,1934-1936,,,COLLECTOR: L.S. Russell and R. W. Landes. REPOSITORY: Geological Survey of Canada (GSC),"COVERAGE: Exhaustive for bivalvia, gastropoda, scaphopoda, and cephalopoda.",30/07/2008 18:08
82647,PaleoDB,A. Hendy,,Baculites,,aquilaensis,,,,,A. Hendy,27815,1937,Alberta,,49.1,-111.613,outcrop,,"SPECIFIC LOCATION: Kye Coulee, Alberta, Canada. LAT/LONG: estimated based on township and range (data supplied in text) conversion.",Cretaceous 7,84.9,70.6,77.75,,,Pawkowki,,,,,,,,,,group of beds,"STRATIGRAPHIC RELATIONS: From the Pawkowki Formation, which overlies the Early Campanian Milk River Formation, is equivalent to the Lea Park Fm, and is overlain by the Judith River Fm (Late Campanian). AGE: Early Campanian on the basis of ammonite (and other groups) biostratigraphy; Baculites obtusus biozone. Early Campanian according to Dawson et el. - Geological Atlas of the Western Canada Sedimentary Basin. STRATIGRAPHIC POSITION: From lower part of  formation.","SPECIFIC LITHOLOGY: Not stated in text, but certainly siliciclastic, probably shale. LITHIFICATION: Poorly-lithified.",,poorly lithified,,"""siliciclastic""",Y,,,,,Y,offshore,,"body,cast,mold/impression,original calcite",ENVIRONMENT: Offshore siliciclastic marine setting.,,,,,,,,,,,,,medium,,macrofossils,,taxonomic,,"surface (in situ),field collection",,,GSC,Russell & Landes,1934-1936,,,COLLECTOR: L.S. Russell and R. W. Landes. REPOSITORY: Geological Survey of Canada (GSC),"COVERAGE: Exhaustive for bivalvia, gastropoda, scaphopoda, and cephalopoda.",30/07/2008 18:08
82648,PaleoDB,A. Hendy,,Baculites,,ovatus,,,,,A. Hendy,27815,1937,Alberta,,49.98,-111.347,local area,,"SPECIFIC LOCATION: Milk River, Alberta, Canada. LAT/LONG: estimated based on township and range (data supplied in text) conversion.",Cretaceous 7,84.9,70.6,77.75,,,Pawkowki,,,,,,,,,,group of beds,"STRATIGRAPHIC RELATIONS: From the Pawkowki Formation, which overlies the Early Campanian Milk River Formation, is equivalent to the Lea Park Fm, and is overlain by the Judith River Fm (Late Campanian). AGE: Early Campanian on the basis of ammonite (and other groups) biostratigraphy; Baculites obtusus biozone. Early Campanian according to Dawson et el. - Geological Atlas of the Western Canada Sedimentary Basin. STRATIGRAPHIC POSITION: From lower part of  formation.","SPECIFIC LITHOLOGY: Not stated in text, but certainly siliciclastic, probably shale. LITHIFICATION: Poorly-lithified.",,poorly lithified,,"""siliciclastic""",Y,,,,,Y,offshore,,"body,cast,mold/impression,original calcite",ENVIRONMENT: Offshore siliciclastic marine setting.,,,,,,,,,,,,,medium,,macrofossils,,taxonomic,,"surface (in situ),field collection",,,GSC,Russell & Landes,1934-1936,,,COLLECTOR: L.S. Russell and R. W. Landes. REPOSITORY: Geological Survey of Canada (GSC),"COVERAGE: Exhaustive for bivalvia, gastropoda, scaphopoda, and cephalopoda.",30/07/2008 18:09
82648,PaleoDB,A. Hendy,,Baculites,,haresi,,,,,A. Hendy,27815,1937,Alberta,,49.98,-111.347,local area,,"SPECIFIC LOCATION: Milk River, Alberta, Canada. LAT/LONG: estimated based on township and range (data supplied in text) conversion.",Cretaceous 7,84.9,70.6,77.75,,,Pawkowki,,,,,,,,,,group of beds,"STRATIGRAPHIC RELATIONS: From the Pawkowki Formation, which overlies the Early Campanian Milk River Formation, is equivalent to the Lea Park Fm, and is overlain by the Judith River Fm (Late Campanian). AGE: Early Campanian on the basis of ammonite (and other groups) biostratigraphy; Baculites obtusus biozone. Early Campanian according to Dawson et el. - Geological Atlas of the Western Canada Sedimentary Basin. STRATIGRAPHIC POSITION: From lower part of  formation.","SPECIFIC LITHOLOGY: Not stated in text, but certainly siliciclastic, probably shale. LITHIFICATION: Poorly-lithified.",,poorly lithified,,"""siliciclastic""",Y,,,,,Y,offshore,,"body,cast,mold/impression,original calcite",ENVIRONMENT: Offshore siliciclastic marine setting.,,,,,,,,,,,,,medium,,macrofossils,,taxonomic,,"surface (in situ),field collection",,,GSC,Russell & Landes,1934-1936,,,COLLECTOR: L.S. Russell and R. W. Landes. REPOSITORY: Geological Survey of Canada (GSC),"COVERAGE: Exhaustive for bivalvia, gastropoda, scaphopoda, and cephalopoda.",30/07/2008 18:09
